YearMonth,challenge_id,挑战名称,实际业务场景,MAU
2024-12,40,首次服务失望的李阿姨,整装,35
2024-12,6,要效果图的刘先生,整装,28
2024-12,38,二次进店的俞先生,整装,27
2024-12,34,预期偏高的张女士,经纪、职能、娱乐,2
2024-12,9,Unknown,整装,1
2024-12,33,看中交通便利的上班族刘小姐,经纪,1
2025-01,36,置换养老的李女士,经纪、职能、娱乐,200
2025-01,35,希望快速成交的李先生,经纪、职能、娱乐,100
2025-01,30,不自住不急售的周女士,经纪、职能、娱乐,99
2025-01,31,自住认为总会涨价的李姐,经纪、职能、娱乐,92
2025-01,34,预期偏高的张女士,经纪、职能、娱乐,68
2025-01,1,工作繁忙的林小姐,整装,54
2025-01,44,大姑的春节热线,经纪、职能、娱乐,34
2025-01,32,兼顾上学和居住品质的王先生,经纪,31
2025-01,42,想租一室户的年轻人卢先生,经纪,22
2025-01,2,做不了主的张女士,整装,21
2025-01,33,看中交通便利的上班族刘小姐,经纪,21
2025-01,4,想要报价的陈女士,整装,18
2025-01,5,强势的李女士,整装,10
2025-01,37,对全包公司失望的杜先生,整装,9
2025-01,3,要方案的王先生,整装,8
2025-01,43,同事合租多套的蔡先生,经纪,8
2025-01,39,看好装修公司的王女士,整装,6
2025-01,45,需要被点燃的小赵,经纪、职能、娱乐,6
2025-01,41,在乎优惠活动的丁先生,整装,5
2025-01,6,要效果图的刘先生,整装,4
2025-01,9,Unknown,整装,4
2025-01,38,二次进店的俞先生,整装,4
2025-01,40,首次服务失望的李阿姨,整装,3
2025-01,11,Unknown,整装,1
2025-02,36,置换养老的李女士,经纪、职能、娱乐,72
2025-02,1,工作繁忙的林小姐,整装,30
2025-02,30,不自住不急售的周女士,经纪、职能、娱乐,24
2025-02,44,大姑的春节热线,经纪、职能、娱乐,13
2025-02,2,做不了主的张女士,整装,11
2025-02,32,兼顾上学和居住品质的王先生,经纪,11
2025-02,42,想租一室户的年轻人卢先生,经纪,10
2025-02,31,自住认为总会涨价的李姐,经纪、职能、娱乐,8
2025-02,4,想要报价的陈女士,整装,7
2025-02,5,强势的李女士,整装,7
2025-02,40,首次服务失望的李阿姨,整装,7
2025-02,41,在乎优惠活动的丁先生,整装,7
2025-02,35,希望快速成交的李先生,经纪、职能、娱乐,6
2025-02,34,预期偏高的张女士,经纪、职能、娱乐,5
2025-02,6,要效果图的刘先生,整装,4
2025-02,33,看中交通便利的上班族刘小姐,经纪,4
2025-02,3,要方案的王先生,整装,3
2025-02,37,对全包公司失望的杜先生,整装,2
2025-02,38,二次进店的俞先生,整装,2
2025-02,39,看好装修公司的王女士,整装,2
2025-02,43,同事合租多套的蔡先生,经纪,2
2025-02,45,需要被点燃的小赵,经纪、职能、娱乐,2
2025-03,36,置换养老的李女士,经纪、职能、娱乐,497
2025-03,72,首次了解美化套餐的张姐,经纪、职能、娱乐,168
2025-03,32,兼顾上学和居住品质的王先生,经纪,121
2025-03,112,【day1】重收益的张先生,惠居,113
2025-03,42,想租一室户的年轻人卢先生,经纪,105
2025-03,1,工作繁忙的林小姐,整装,87
2025-03,31,自住认为总会涨价的李姐,经纪、职能、娱乐,84
2025-03,30,不自住不急售的周女士,经纪、职能、娱乐,80
2025-03,33,看中交通便利的上班族刘小姐,经纪,70
2025-03,73,了解美化后有疑问的胡女士,经纪、职能、娱乐,68
2025-03,44,大姑的春节热线,经纪、职能、娱乐,54
2025-03,113,【day1】爱惜房子的王女士,惠居,48
2025-03,34,预期偏高的张女士,经纪、职能、娱乐,40
2025-03,35,希望快速成交的李先生,经纪、职能、娱乐,39
2025-03,45,需要被点燃的小赵,经纪、职能、娱乐,28
2025-03,2,做不了主的张女士,整装,26
2025-03,43,同事合租多套的蔡先生,经纪,22
2025-03,4,想要报价的陈女士,整装,20
2025-03,119,【day3】学区房的孙女士,惠居,17
2025-03,3,要方案的王先生,整装,13
2025-03,114,谨慎装修的王先生,经纪、职能、娱乐,13
2025-03,152,【新人通关】看中居住质量的刘小姐,经纪,13
2025-03,5,强势的李女士,整装,12
2025-03,6,要效果图的刘先生,整装,11
2025-03,37,对全包公司失望的杜先生,整装,11
2025-03,40,首次服务失望的李阿姨,整装,11
2025-03,41,在乎优惠活动的丁先生,整装,11
2025-03,120,【day4】在自如托管过的李先生,惠居,11
2025-03,156,【新人通关】在乎性价比的张先生,经纪,11
2025-03,121,【day5】首次出租的王女士,惠居,10
2025-03,122,【day6】替人出租的李女士,惠居,8
2025-03,150,【新人通关】时间紧迫的赵女士,经纪、职能、娱乐,8
2025-03,38,二次进店的俞先生,整装,7
2025-03,151,【新人通关】被中介坑过的王先生,经纪、职能、娱乐,6
2025-03,39,看好装修公司的王女士,整装,4
2025-03,155,【新人通关】再次委托出租的钱女士,经纪,4
2025-03,157,【云管家】在外地首次了解省心租的王女士,惠居,4
2025-03,7,Unknown,整装,3
2025-03,154,【新人通关】出租转出售的李女士,经纪、职能、娱乐,2
2025-03,158,【云管家】首次了解省心租，看重收益的李先生,惠居,2
2025-03,8,Unknown,整装,1
2025-03,9,Unknown,整装,1
2025-03,159,【云管家】朋友被包租公司坑过，担心没保障的苏女士,惠居,1
2025-04,36,置换养老的李女士,经纪、职能、娱乐,255
2025-04,112,【day1】重收益的张先生,惠居,126
2025-04,32,兼顾上学和居住品质的王先生,经纪,60
2025-04,72,首次了解美化套餐的张姐,经纪、职能、娱乐,52
2025-04,113,【day1】爱惜房子的王女士,惠居,44
2025-04,150,【新人通关】时间紧迫的赵女士,经纪、职能、娱乐,43
2025-04,44,大姑的春节热线,经纪、职能、娱乐,38
2025-04,157,【云管家】在外地首次了解省心租的王女士,惠居,37
2025-04,1,工作繁忙的林小姐,整装,36
2025-04,33,看中交通便利的上班族刘小姐,经纪,34
2025-04,42,想租一室户的年轻人卢先生,经纪,32
2025-04,162,前来面试的王闹海,经纪、职能、娱乐,31
2025-04,156,【新人通关】在乎性价比的张先生,经纪,27
2025-04,159,【云管家】朋友被包租公司坑过，担心没保障的苏女士,惠居,26
2025-04,152,【新人通关】看中居住质量的刘小姐,经纪,25
2025-04,30,不自住不急售的周女士,经纪、职能、娱乐,24
2025-04,73,了解美化后有疑问的胡女士,经纪、职能、娱乐,24
2025-04,2,做不了主的张女士,整装,22
2025-04,158,【云管家】首次了解省心租，看重收益的李先生,惠居,22
2025-04,151,【新人通关】被中介坑过的王先生,经纪、职能、娱乐,20
2025-04,31,自住认为总会涨价的李姐,经纪、职能、娱乐,19
2025-04,35,希望快速成交的李先生,经纪、职能、娱乐,19
2025-04,4,想要报价的陈女士,整装,17
2025-04,45,需要被点燃的小赵,经纪、职能、娱乐,17
2025-04,121,【day5】首次出租的王女士,惠居,17
2025-04,119,【day3】学区房的孙女士,惠居,16
2025-04,3,要方案的王先生,整装,14
2025-04,114,谨慎装修的王先生,经纪、职能、娱乐,14
2025-04,154,【新人通关】出租转出售的李女士,经纪、职能、娱乐,14
2025-04,5,强势的李女士,整装,12
2025-04,155,【新人通关】再次委托出租的钱女士,经纪,12
2025-04,43,同事合租多套的蔡先生,经纪,11
2025-04,6,要效果图的刘先生,整装,10
2025-04,34,预期偏高的张女士,经纪、职能、娱乐,10
2025-04,37,对全包公司失望的杜先生,整装,10
2025-04,41,在乎优惠活动的丁先生,整装,8
2025-04,120,【day4】在自如托管过的李先生,惠居,8
2025-04,39,看好装修公司的王女士,整装,7
2025-04,38,二次进店的俞先生,整装,6
2025-04,40,首次服务失望的李阿姨,整装,6
2025-04,194,【上海测试】重收益的李先生,惠居,5
2025-04,122,【day6】替人出租的李女士,惠居,4
2025-04,199,购房用于出租的陈女士,整装,4
2025-04,198,购房用于即将新婚的李先生,整装,3
2025-04,201,【速练体验】现状澄清的房况确认考察,惠居,3
2025-04,202,【宽松练习版】现状澄清的房况确认,惠居,3
2025-04,203,（改1）愿意尝试的包子铺老板娘李姐,经纪、职能、娱乐,2
2025-04,7,Unknown,整装,1
2025-04,9,Unknown,整装,1
2025-04,195,【上海测试】换租的赵女士,惠居,1
2025-04,196,【上海测试】在自如托管过的金先生,惠居,1
2025-04,197,【上海测试】老旧房子的刘阿姨（推荐美租）,惠居,1
2025-04,200,套底价反复压价格李女士,整装,1
2025-05,112,【day1】重收益的张先生,惠居,317
2025-05,114,谨慎装修的王先生,经纪、职能、娱乐,273
2025-05,232,史今哥带你逛展厅样板房（91㎡）,整装,235
2025-05,162,前来面试的王闹海,经纪、职能、娱乐,200
2025-05,113,【day1】爱惜房子的王女士,惠居,155
2025-05,119,【day3】学区房的孙女士,惠居,110
2025-05,36,置换养老的李女士,经纪、职能、娱乐,104
2025-05,120,【day4】在自如托管过的李先生,惠居,93
2025-05,215,【惠居京南】（速练1）开场破冰,惠居,81
2025-05,121,【day5】首次出租的王女士,惠居,78
2025-05,224,【惠居京南】（速练2）现状澄清,惠居,68
2025-05,225,【惠居京南】（速练3）产品匹配,惠居,67
2025-05,1,工作繁忙的林小姐,整装,66
2025-05,226,【惠居京南】（速练4）邀约线下,惠居,66
2025-05,227,【惠居京南】（速练5）总结跟进,惠居,66
2025-05,198,购房用于即将新婚的李先生,整装,64
2025-05,216,【惠居京南】(演练1）重收益的张先生,惠居,64
2025-05,122,【day6】替人出租的李女士,惠居,61
2025-05,199,购房用于出租的陈女士,整装,58
2025-05,200,套底价反复压价格李女士,整装,58
2025-05,41,在乎优惠活动的丁先生,整装,57
2025-05,157,【云管家】在外地首次了解省心租的王女士,惠居,57
2025-05,222,【惠居京南】(演练7）老旧房子刘女士,惠居,57
2025-05,223,【惠居京南】(演练8）以租换租刘先生,惠居,56
2025-05,219,【惠居京南】(演练4）在自如托管过的李先生,惠居,55
2025-05,217,【惠居京南】(演练2）爱惜房子的王女士,惠居,54
2025-05,218,【惠居京南】(演练3）学区房的孙女士,惠居,53
2025-05,220,【惠居京南】(演练5）首次出租的王女士,惠居,53
2025-05,221,【惠居京南】(演练6）替人出租的李女士,惠居,52
2025-05,194,【上海测试】重收益的李先生,惠居,50
2025-05,159,【云管家】朋友被包租公司坑过，担心没保障的苏女士,惠居,49
2025-05,32,兼顾上学和居住品质的王先生,经纪,48
2025-05,158,【云管家】首次了解省心租，看重收益的李先生,惠居,48
2025-05,42,想租一室户的年轻人卢先生,经纪,41
2025-05,40,首次服务失望的李阿姨,整装,38
2025-05,240,新房团装-申请退款的黄小姐,整装,33
2025-05,33,看中交通便利的上班族刘小姐,经纪,32
2025-05,151,【新人通关】被中介坑过的王先生,经纪、职能、娱乐,27
2025-05,150,【新人通关】时间紧迫的赵女士,经纪、职能、娱乐,26
2025-05,195,【上海测试】换租的赵女士,惠居,25
2025-05,2,做不了主的张女士,整装,22
2025-05,196,【上海测试】在自如托管过的金先生,惠居,22
2025-05,197,【上海测试】老旧房子的刘阿姨（推荐美租）,惠居,21
2025-05,4,想要报价的陈女士,整装,20
2025-05,152,【新人通关】看中居住质量的刘小姐,经纪,19
2025-05,204,【西安测试】对省心租服务价值存疑的王先生,惠居,19
2025-05,5,强势的李女士,整装,17
2025-05,156,【新人通关】在乎性价比的张先生,经纪,17
2025-05,168,曹叔带你逛展厅new,整装,16
2025-05,30,不自住不急售的周女士,经纪、职能、娱乐,15
2025-05,31,自住认为总会涨价的李姐,经纪、职能、娱乐,15
2025-05,155,【新人通关】再次委托出租的钱女士,经纪,15
2025-05,241,【云管家】退休在家的王阿姨,惠居,15
2025-05,242,【云管家】非常爱惜房屋，对租客挑剔的郭女士,惠居,15
2025-05,243,【云管家】打算卖房，担心省心租签约年限太长的张先生,惠居,15
2025-05,44,大姑的春节热线,经纪、职能、娱乐,14
2025-05,3,要方案的王先生,整装,12
2025-05,6,要效果图的刘先生,整装,12
2025-05,34,预期偏高的张女士,经纪、职能、娱乐,11
2025-05,45,需要被点燃的小赵,经纪、职能、娱乐,11
2025-05,43,同事合租多套的蔡先生,经纪,9
2025-05,208,【台词版】注重养老的蔡叔叔,经纪、职能、娱乐,9
2025-05,201,【速练体验】现状澄清的房况确认考察,惠居,8
2025-05,7,Unknown,整装,7
2025-05,202,【宽松练习版】现状澄清的房况确认,惠居,7
2025-05,154,【新人通关】出租转出售的李女士,经纪、职能、娱乐,6
2025-05,210,【新版温和】注重养老的蔡叔叔,经纪、职能、娱乐,6
2025-05,35,希望快速成交的李先生,经纪、职能、娱乐,5
2025-05,203,（改1）愿意尝试的包子铺老板娘李姐,经纪、职能、娱乐,5
2025-05,209,【新版暴躁】注重养老的蔡叔叔,经纪、职能、娱乐,5
2025-05,38,二次进店的俞先生,整装,4
2025-05,73,了解美化后有疑问的胡女士,经纪、职能、娱乐,4
2025-05,72,首次了解美化套餐的张姐,经纪、职能、娱乐,3
2025-05,37,对全包公司失望的杜先生,整装,2
2025-05,8,Unknown,整装,1
2025-05,9,Unknown,整装,1
2025-05,39,看好装修公司的王女士,整装,1
